GalaxyID,BIC_Hernquist,BIC_Dehnen,Delta_BIC
IC4202,5426.288647128821,2415.659262727763,3010.6293844010584
UGC08286,66.19089849000561,30.209275090186335,35.98162339981927
IC2574,118.29567271814432,31.09577479445519,87.19989792368912
NGC4559,229.8450386016996,138.64547618760182,91.19956241409778
UGC01230,41.56136966338933,35.199744817737646,6.361624845651683
UGC07577,11.247829174009643,8.202659922235686,3.0451692517739577
UGC06628,8.143632596778945,8.297907378636648,-0.15427478185770305
NGC4013,2234.406302409533,2222.4792436267753,11.92705878275774
UGC03205,15412.055033839404,7931.21473050865,7480.840303330754
NGC7331,1838.1130955605015,1390.6436981526126,447.4693974078889
UGC02916,1281.754190856576,231.50947501877448,1050.2447158378016
UGC06923,7.764834054285836,5.456390910867341,2.3084431434184944
UGC04483,7.703666805268675,6.319809765479384,1.3838570397892909
NGC4217,2204.754768245299,1414.0237001544808,790.7310680908183
NGC3109,57.4393827589677,20.81665822158272,36.62272453738498
UGC05764,30.37767714853438,15.104955958293186,15.272721190241196
NGC3949,295.88188750590234,212.94266048503601,82.93922702086633
D512-2,5.445667531135408,5.424999801119708,0.02066773001569988
NGC4389,46.85511282647358,38.24412340567943,8.610989420794148
NGC4157,4704.082522456307,3332.410965549997,1371.67155690631
DDO161,122.35295386847044,47.63956988477423,74.7133839836962
