GalaxyID,Gamma_disk,Error_disk,Gamma_bulge,Error_bulge
UGC12506,0.4904160873069997,0.15531268625189512,0.0,0.0
UGC11455,0.39612522709644504,0.12479511215378265,0.0,0.0
NGC1705,0.6140548803319673,0.26347978232484515,0.0,0.0
F563-V1,0.4928159757330637,0.03959358124771784,0.0,0.0
F561-1,0.495750142612664,0.04053013332143444,0.0,0.0
UGC06818,0.42314914765136535,0.03435640193501066,0.0,0.0
UGC07089,0.47948168883256087,0.04511414131310473,0.0,0.0
UGC05253,0.3119425662577558,0.061931710366748736,0.8730532318924479,0.23305621812122668
UGC04305,0.5767412380241381,0.1692031337470912,0.0,0.0
UGC06446,0.5228692116307195,0.07856141647306486,0.0,0.0
NGC3953,0.5458157312129022,0.11143400219639402,0.0,0.0
NGC6789,0.5395231459362905,0.12820343591432667,0.0,0.0
UGC07232,0.5154370636805533,0.10068582131207346,0.0,0.0
UGC03546,0.5560027890176713,0.05148721765249779,0.5169784973140881,0.07130634016848676
NGC6503,0.44040127557799624,0.06219113225911554,0.0,0.0
UGC05005,0.4925153534059363,0.037298527461245755,0.0,0.0
UGC07690,0.5550212376885063,0.09410284648987194,0.0,0.0
UGC00634,0.4875388601036269,0.036055940887904106,0.0,0.0
DDO154,0.3461752221186628,0.06501602849939025,0.0,0.0
UGC07603,0.49996423084309577,0.05340055369931672,0.0,0.0
NGC3992,0.5696231597383745,0.17808961690954153,0.0,0.0
NGC4088,0.4308292193767355,0.030956651086732807,0.0,0.0
F579-V1,0.5301957064445836,0.10817839750650247,0.0,0.0
ESO444-G084,0.5284994501576381,0.05104896034645365,0.0,0.0
F565-V2,0.5125892080069625,0.04339334840698271,0.0,0.0
UGC10310,0.523002942468596,0.06247672376844139,0.0,0.0
NGC5055,0.266283185840708,0.048295941619053956,0.0,0.0
NGC0801,0.6435818286044196,0.052749608968287884,0.0,0.0
F563-1,0.507240468057607,0.04239960842695091,0.0,0.0
NGC6946,0.531045116092108,0.037348712664794934,0.5605646380856432,0.050664247631552195
UGC06614,0.4760618014464168,0.03635523280687168,0.6890884915400523,0.05445151077366064
NGC3769,0.4212518853695324,0.03199408257748288,0.0,0.0
NGC3917,0.5538499500871813,0.17799720457873905,0.0,0.0
UGC05999,0.4873179566245246,0.03598709215861793,0.0,0.0
NGC4085,0.3707976763955795,0.031806854326272845,0.0,0.0
NGC3198,0.5072455980236347,0.06706067904971241,0.0,0.0
F568-3,0.49029147254137245,0.04841545507039142,0.0,0.0
NGC5033,0.38905943270811305,0.0552268760817015,0.44324098685968205,0.07604546127364932
UGC11557,0.4679245858318935,0.03588530141261264,0.0,0.0
UGC02885,0.46990053427019873,0.06955217961098666,0.9893430816733371,0.05424199893575856
KK98-251,0.5056692913385826,0.04008324818128068,0.0,0.0
NGC5907,0.5802912795041514,0.2711491530378908,0.0,0.0
UGC06917,0.5131069460892849,0.07342627521269725,0.0,0.0
UGC09992,0.5082835943553499,0.04448323445504101,0.0,0.0
UGC04499,0.4921623564035306,0.053147405888678,0.0,0.0
NGC0289,0.4992745084622815,0.050697214713653044,0.0,0.0
UGC06983,0.5405561312625395,0.10088058597938132,0.0,0.0
UGC06973,0.24429118773946357,0.04697678500673523,0.541427595995822,0.06269301457667184
UGC02487,0.7068812190655499,0.08180751687984239,0.5802119579027905,0.07291425484055072
UGC09037,0.27719047619047615,0.02010003328028291,0.0,0.0
NGC4051,0.47932198356923683,0.06103218954285506,0.0,0.0
F571-8,0.2508488240436446,0.07216895913978037,0.0,0.0
D564-8,0.4845491266053509,0.04203194750886197,0.0,0.0
UGC00891,0.5044344669623491,0.04661096800328087,0.0,0.0
