GalaxyID,M_b_fit,a_fit,ChiSq,RedChiSq
UGC06787,143475027308.57147,9.774182748122115,13985.610505115428,202.69000732051344
NGC2955,370337320019.6965,18.01734961661409,2894.215783231322,131.555262874151
UGC03580,26044087721.356697,4.514159677496201,1975.8255345855348,43.90723410190078
NGC4100,79215627720.54659,5.462103807803924,4402.631885664157,200.1196311665526
UGC06786,80732279248.78944,8.876469387294982,10323.633799665036,240.08450696895434
UGC00128,62971411149.87662,26.4352296653816,239.08836727607203,11.954418363803601
UGC00731,1.7508218695676917e+21,8109186.960192364,181.00406449180213,18.100406449180213
UGC05750,178205086239.94543,72.83882032699306,58.30112540891637,6.47790282321293
UGC07151,15064712154.179401,6.496819319608061,29.741282750601854,3.304586972289095
NGC3972,128180500371.24257,19.3554279656087,128.54121963510764,16.067652454388455
F568-1,1.6773262135190089e+21,5259447.179239985,60.10657158214872,6.010657158214872
NGC7793,23016317782.71965,4.792795990948017,756.7556108021788,17.198991154594975
NGC3877,407502177994.1596,26.209042588381966,509.8967169442871,46.35424699493519
NGC6674,379972110033.5734,10.015016281043266,4387.538379080553,337.5029522369656
NGC6015,59047772670.34022,5.70967743479274,3568.4485134888464,84.96305984497253
UGC12732,169475848266.74942,62.95618034288561,100.19369873024563,7.156692766446116
NGC2903,48759101993.31186,2.2628800524195705,5102.640209745448,159.45750655454526
UGC02455,11557941956.609983,4.841099353997818,50.196583214994185,8.36609720249903
UGC02023,239787828802.29883,55.72912796599981,18.869567525595162,6.289855841865054
UGC05986,14692609598.375355,6.103851993526395,306.1918854500631,23.553221957697165
UGC06399,43214942664.42579,21.506150165538504,19.077427089805557,2.7253467271150797
UGC09133,319347230666.43756,9.993558310471455,21484.12527397717,325.5170496057147
NGC0024,12742443138.403328,3.9500880565624024,1191.618159332793,44.13400590121456
UGC02953,303787218881.9322,7.925623300709479,80597.90711718387,713.2558151963175
NGC4138,27455908511.16182,1.1234968978323663,124.38161366622748,24.876322733245495
NGC0247,122615078485.46092,32.45634038284589,115.28290225864332,4.803454260776805
IC4202,970136027620.8007,55.3809315392202,5419.357177151016,180.6452392383672
UGC08286,9232666122.568478,8.218783683942116,60.52447180348065,4.03496478689871
NGC4559,39356200190.328964,6.8196251035614015,222.913566795817,7.430452226527233
UGC01230,54431563099.87909,22.872280900207837,36.76557911751171,4.08506434639019
UGC06628,162229291528.1685,43.88455108696257,4.2518122986759685,0.8503624597351938
NGC4013,49477483295.23831,1.0232174099085676,2227.2392647998868,65.50703719999667
UGC03205,175122074401.91846,11.705001315852193,15404.312628956497,334.87636149905427
NGC7331,170619039382.9109,3.2669472203574643,1830.9460576832023,53.851354637741245
UGC02916,497817084373.346,47.54534677889549,1274.2317904579766,31.078824157511622
UGC06923,9169490083.64172,4.50615930214351,4.1813151158302,1.04532877895755
NGC4217,77193286759.18211,14.043408425549213,2198.8658911776156,129.3450524222127
NGC3949,60950582182.77247,3.843487085605324,291.99006720592484,58.39801344118497
NGC4389,64489080882.74347,8.980804561692866,43.27159388794344,10.81789847198586
NGC4157,125751026086.40211,5.434364385056582,4698.416094737477,313.22773964916513
DDO161,11650975494.50277,11.175080507874437,115.48497947577536,3.982240671578461
