GalaxyID,M_b_fit,a_fit,gamma_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,gamma_fit_bulge,ChiSq_bulge
F563-1,55296507510.344604,38.00325174668424,1.0342747262369494,13.603823145413651,,,,
NGC6946,77399370147.1169,2.6799045491129325,0.00010000005871387335,4425.678102489753,2415226763.0583997,0.03953630310067918,0.00010000051172738569,45.864850227098415
UGC06614,132672334728.14647,13.139626021846803,0.00010000333961590555,633.1334661639523,51154905996.88923,0.5267672413926145,0.00010075229578179833,63.27574596522654
NGC3769,17508710323.99314,1.4219487633973271,0.00010000001693438424,38.92872029689814,,,,
NGC3917,68178939597.695015,6.46619488973225,0.00010000008498898501,347.64043095152374,,,,
UGC05999,327181004491.2183,99.9999999202887,1.17521308363114,26.70431509064097,,,,
NGC4085,30825578357.819584,2.246015576275139,0.00010000000624047364,33.7013464584459,,,,
NGC3198,61320555137.54813,7.154282596128319,0.8286204936654229,2189.8475369319685,,,,
F568-3,71789404178.55995,19.464902748597186,0.5211572473163739,4.903834781662846,,,,
NGC5033,65086167444.47394,2.2728639209937254,0.000100004925818031,933.7743028283402,12284944344.581753,0.1934624398600529,0.00010000002140791525,165.80418381990626
UGC11557,36151204201.19432,6.10907498249501,0.4184384141094732,33.1984742262006,,,,
UGC02885,430005736850.57416,10.435338182037269,0.2125410350516375,269.3652050209455,52718371564.439125,0.3718699157780035,0.00010000324027678424,358.2696653891014
KK98-251,5019851542.323859,4.5233330328065735,0.00010000001288293892,17.22132934027948,,,,
NGC5907,233401882191.2272,5.32524163945908,0.00010000041781010049,926.3545598648376,,,,
UGC06917,228605038349.80222,99.99999999472035,1.5506397110480674,4.451809117489745,,,,
UGC09992,3294122976.901815,6.022814675397375,1.0177866961119415,0.4836239179191798,,,,
UGC04499,22442059991.899525,14.914970001874925,1.064842898717577,6.730605085815633,,,,
NGC0289,87666340368.03021,5.448968203093068,1.3270604419344232,1798.2858074172668,,,,
UGC06983,125862320551.46384,99.99999980000742,1.7237897428619673,42.277915316079095,,,,
UGC06973,15130936498.51476,0.20500696707029342,0.00010009912850343447,3.1793629508811474,3965612355.812927,0.00010000001847562923,1.9999999996281934,0.0013041285048567394
UGC02487,474131041445.4052,5.924902672263847,0.00010000004026277826,1441.7014941182892,63258833992.95119,0.27983732264933575,0.00010000217114883323,4.080764971167149
UGC09037,102924920966.07484,15.057320137579847,1.1791151116027705,81.28013456381787,,,,
NGC4051,812724016692.6683,99.99999911222096,1.7128417964843996,902.0944846406388,,,,
F571-8,4334209396.738951,0.9907621075798876,0.00010000003942682212,88.47561814428919,,,,
D564-8,159024284.41074735,1.2220628248992649,0.00010000000802262554,0.15539926918318359,,,,
UGC00891,3239501000.166149,3.1956356625025153,0.00010000000492126158,5.527075714715361,,,,
NGC2998,180907338717.66003,4.675336652742695,0.01859744383759681,238.3913913776646,,,,
