GalaxyID,M_b_fit,a_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,ChiSq_bulge
NGC0247,122614641983.37195,32.456266655735554,115.28290225825003,,,
IC4202,970212125054.0186,55.383697636288446,5419.357175323222,8626685389.492882,1.8165643376587264,400.60683365809297
UGC08286,9232625820.117674,8.218755888164857,60.52447180189317,,,
IC2574,230635161962.808,99.99999999192613,111.242951668912,,,
NGC4559,39356205077.12011,6.819626078825646,222.91356679610016,,,
UGC01230,54431527948.927444,22.87226897086326,36.76557911779258,,,
UGC07577,216906485723.57513,99.99999846834847,6.853380019337204,,,
UGC06628,162229431309.5235,43.88457226940866,4.251812298668319,,,
NGC4013,49477261697.49133,1.0231886368832097,2227.239264532621,12667065217.73077,0.08519415008103493,0.9425571367264387
UGC03205,175121597733.77664,11.704971966198604,15404.31263181759,20167548247.3792,1.0330872210680768,3544.7744046286743
NGC7331,170619043459.56406,3.2669473695962714,1830.9460576835893,7138652080.974178,0.0004898964675657735,0.000891019326291806
UGC02916,497811084104.6906,47.5449811482921,1274.231790625189,25123922617.916267,1.9581978511385796,3688.101642109665
UGC06923,9169492141.898245,4.506160161409198,4.181315115829726,,,
UGC04483,763386306.0593265,3.34092159569126,3.544783721909003,,,
NGC4217,77189210832.16904,14.04280013728194,2198.865890286966,28339679739.98699,2.275411616289941,2501.2390263421235
NGC3109,22340682637.710087,28.207793587118115,51.001631109231305,,,
UGC05764,374066263351.6295,99.99999999431992,25.77250696254629,,,
NGC3949,60950395158.78281,3.8434750274418406,291.99006720779175,,,
D512-2,1518726967.9521682,5.506014279349807,2.673078808895627,,,
NGC4389,64489028852.03539,8.980799570824068,43.27159388801747,,,
NGC4157,125750736745.34021,5.434346057609905,4698.416095768194,1313835936.6433995,0.00010000000000434248,0.0001196414708206897
DDO161,11651050017.21268,11.175137971625956,115.48497945950014,,,
