GalaxyID,log_M_b_fit,log_M_b
NGC0024,10.105252704278971,9.593691475985137
UGC02953,11.354191690155492,11.198028652127713
NGC4138,10.51446673572088,10.408854550681157
NGC0247,11.088543880462709,9.871990559514671
IC4202,11.435762692395057,10.856942701664321
UGC08286,9.965327130616625,9.191729204944947
NGC4559,10.595013160998269,10.231424092019214
UGC01230,10.735850806040478,10.093904280959514
UGC06628,11.210129271580062,9.59006178013636
NGC4013,10.792271700592947,10.6834338654881
UGC03205,11.028999790307797,10.808056565709451
NGC7331,11.23968836460049,11.087874945499712
UGC02916,10.928143579918089,10.958872861778426
UGC06923,9.962345185177321,9.39471553835383
NGC4217,10.794934118625605,10.762672648156963
NGC3949,10.78497785823263,10.361833968320484
NGC4389,10.809486187289377,9.8592020816576
NGC4157,11.087693391193561,10.811339039033502
DDO161,10.066362288807854,9.319599516508582
