Galaxy,M_b_fit,a_fit,chi2,M_b_fit_bulge,a_fit_bulge,chi2_bulge
NGC0247,14208658577.574205,7.534451725253224,216.87576255756375,,,
IC4202,110793195071.83318,12.551641335393597,700.1557581686268,8626685389.513628,1.8165643376650347,400.6068336580928
UGC08286,2305495491.5333133,3.0692963620388682,36.94595884386334,,,
IC2574,5748240546.905158,9.966219464351596,59.88019846033119,,,
NGC4559,19054410424.29461,4.1640885998554715,997.2564258545178,,,
UGC01230,17769870446.91884,9.89155949239047,314.15166762484415,,,
UGC07577,165909513.6129617,1.6470655095113236,1.073553821318098,,,
NGC4013,46706579375.92259,2.8757532922715394,1742.5870732010105,12667065217.73077,0.08519415008103493,0.9425571367264387
UGC03205,74836747753.73227,6.469930871992944,1733.8179278025586,20167548247.3792,1.0330872210680768,3544.7744046286743
NGC7331,127683215707.71571,3.611541778003367,1112.8994478021793,7138652080.974178,0.0004898964675657735,0.000891019326291806
UGC02916,82886622474.07704,13.0614260493731,1434.4204472706767,25123922617.9174,1.9581978511383833,3688.101642109665
UGC04483,66725277.95969834,0.6433556371366633,1.5663045007095369,,,
NGC4217,23059578381.823254,5.901772715868191,636.4349343790066,28339679739.978184,2.275411616288419,2501.2390263421257
NGC3109,982055706.5088986,3.695614913572459,10.482992727929414,,,
UGC05764,803808986.4917526,2.7289916183278295,3.048599669314525,,,
NGC4157,78909277333.25334,4.308407565806351,595.7946932027274,1313835936.6433995,0.00010000000000434248,0.0001196414708206897
DDO161,3094570911.9340434,4.151425146525335,148.19091133026487,,,
